T,log_moneyness,price_heston_sc,iv_heston_sc,price_heston_mc,iv_heston_mc,price_abs_error,iv_abs_error
0.038356164383561646,-0.07278481012658228,0.1056034522097633,0.23403146326061294,0.09868319698399176,0.2307294590789178,0.0069202552257715405,0.003302004181695156
0.038356164383561646,-0.06329113924050633,0.15738168338720016,0.2297239194103423,0.1523815722838841,0.2279321944787518,0.005000111103316052,0.0017917249315904937
0.038356164383561646,-0.05379746835443039,0.23101803612910032,0.22516563092719655,0.22930247362752978,0.2246898647909057,0.001715562501570539,0.00047576613629085607
0.038356164383561646,-0.044303797468354444,0.3347148654415264,0.22050328111638418,0.3370932568921254,0.22102971585724557,0.0023783914505989823,0.0005264347408613923
0.038356164383561646,-0.034810126582278444,0.47852575130880837,0.2157932569030726,0.4873486560522837,0.21740328545733195,0.008822904743475357,0.0016100285542593462
0.038356164383561646,-0.0253164556962025,0.673569787790214,0.21095101980902664,0.6898531668521835,0.21349340703240097,0.016283379061969416,0.002542387223374326
0.038356164383561646,-0.015822784810126556,0.9320312804967443,0.20590186612237932,0.9569508568665207,0.20937149905394425,0.024919576369776375,0.0034696329315649366
0.038356164383561646,-0.006329113924050611,1.2671154982162278,0.20067192409790924,1.2992195350179259,0.20484902923694653,0.032104036801698044,0.004177105139037296
0.038356164383561646,0.0031645569620253333,1.3746636317690104,0.19532616745490444,1.4125231133733946,0.20018305192471336,0.03785948160438424,0.00485688446980892
0.038356164383561646,0.012658227848101333,0.9412662550511257,0.18987728313511226,0.9834687415735986,0.19555841602148472,0.04220248652247294,0.005681132886372453
0.038356164383561646,0.022151898734177222,0.6016572590069487,0.18429352002372124,0.6458589169380918,0.19100713574069889,0.04420165793114317,0.00671361571697765
0.038356164383561646,0.03164556962025322,0.3536192579363693,0.1785944079550818,0.39504277304487506,0.18632370078683938,0.04142351510850578,0.007729292831757578
